"ETA","NUM","CODA","CODN","CIUDAD","ABR","DIST.","TIEM.","DÍAS","SALE","PONE","OBSERVACIONES","REGION"
00,00,"ARG",018,"GENERAL SAN MARTÍN","BA",4,00:13:00,0,05:44:00,20:10:00,,150
01,01,"ARG",025,"TRES DE FEBRERO","BA",4,00:15:00,2,05:45:00,20:11:00,"REGIÓN 150. GRAN BUENOS AIRES. GMT: -3. 1/1 AÑO NUEVO. PRESIDENTE FERNANDO DE LA RÚA.",150
01,02,"ARG",046,"HURLINGHAM","BA",11,00:22:00,1,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,03,"ARG",028,"MORÓN","BA",7,00:20:00,2,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,04,"ARG",047,"ITUZAINGÓ","BA",6,00:18:00,1,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,05,"ARG",013,"MERLO","BA",7,00:18:00,3,05:52:00,20:12:00,"GRAN BUENOS AIRES.",150
01,06,"ARG",015,"MORENO","BA",8,00:22:00,3,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,07,"ARG",065,"LUJÁN","BA",35,00:34:00,1,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,08,"ARG",035,"JOSÉ C. PAZ","BA",37,00:44:00,2,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,09,"ARG",027,"MALVINAS ARGENTINAS","BA",8,00:21:00,2,05:59:00,20:10:00,"GRAN BUENOS AIRES.",150
01,10,"ARG",033,"SAN MIGUEL","BA",9,00:24:00,2,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,11,"ARG",034,"VICENTE LÓPEZ","BA",26,00:43:00,2,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,12,"ARG",031,"SAN ISIDRO","BA",7,00:19:00,2,06:05:00,20:06:00,"GRAN BUENOS AIRES.",150
01,13,"ARG",050,"SAN FERNANDO","BA",6,00:17:00,1,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,14,"ARG",021,"TIGRE","BA",4,00:10:00,2,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,15,"ARG",063,"ZÁRATE","BA",76,01:08:00,1,00:00:00,00:00:00,"GRAN BUENOS AIRES.",150
01,16,"ARG",051,"SAN NICOLÁS DE LOS ARROYOS","BA",159,01:49:00,1,00:00:00,00:00:00,,150
01,17,"ARG",004,"ROSARIO","SFE",72,00:55:00,5,06:12:00,20:02:00,"REGIÓN 148: 62 KM.",148
01,18,"URU",001,"MONTEVIDEO","MON",624,07:43:00,6,06:09:00,19:48:00,"URUGUAY: 311 KM. PRESIDENTE JULIO MARÍA SANGUINETTI.",148
01,19,"URU",002,"SALTO","SAL",494,05:44:00,1,00:00:00,00:00:00,,148
01,20,"ARG",048,"CONCORDIA","ERI",39,00:59:00,1,00:00:00,00:00:00,"ARGENTINA: 22 KM. PRESIDENTE FERNANDO DE LA RÚA.",148
01,21,"ARG",022,"POSADAS","MIS",591,06:46:00,3,06:25:00,19:30:00,,148
01,22,"ARG",020,"CORRIENTES","COR",333,03:59:00,2,00:00:00,00:00:00,,148
01,23,"ARG",032,"PARANÁ","ERI",582,07:08:00,3,00:00:00,00:00:00,,148
01,24,"ARG",012,"SANTA FE","SFE",31,00:36:00,3,06:45:00,19:48:00,,148
01,25,"ARG",071,"RAFAELA","SFE",122,00:31:00,1,00:00:00,00:00:00,,148
01,26,"ARG",069,"RECONQUISTA","SFE",375,04:44:00,1,00:00:00,00:00:00,,148
01,27,"ARG",016,"RESISTENCIA","CHA",221,03:02:00,3,00:00:00,00:00:00,,148
01,28,"ARG",070,"PRESIDENCIA ROQUE SÁENZ PEÑA","CHA",169,02:10:00,1,06:53:00,19:35:00,,148
01,29,"ARG",036,"FORMOSA","FOR",312,04:19:00,2,00:00:00,00:00:00,,148
01,30,"PRY",010,"MARIANO ROQUE ALONSO","CEN",147,02:12:00,1,00:00:00,00:00:00,"REGIÓN 146: 27 KM. PARAGUAY: 27 KM. GRAN ASUNCIÓN. 01/03: HÉROES DE LA PATRIA. PRESIDENTE: LUIS ÁNGEL GONZÁLEZ MACCHI.",146
01,31,"PRY",008,"LIMPIO","CEN",8,00:14:00,1,00:00:00,00:00:00,"GRAN ASUNCIÓN.",146
01,32,"PRY",004,"LUQUE","CEN",14,00:32:00,2,00:00:00,00:00:00,"04/03: GMT: -4. GRAN ASUNCIÓN.",146
01,33,"PRY",007,"FERNANDO DE LA MORA","CEN",11,00:30:00,1,05:47:00,18:16:00,"GRAN ASUNCIÓN.",146
01,34,"PRY",001,"ASUNCIÓN","ASU",11,00:29:00,3,00:00:00,00:00:00,"GRAN ASUNCIÓN.",146
01,35,"PRY",006,"LAMBARÉ","CEN",8,00:23:00,1,00:00:00,00:00:00,"GRAN ASUNCIÓN.",146
01,36,"PRY",009,"ÑEMBY","CEN",12,00:32:00,1,00:00:00,00:00:00,"GRAN ASUNCIÓN.",146
01,37,"PRY",003,"SAN LORENZO","CEN",9,00:25:00,2,05:50:00,18:09:00,"GRAN ASUNCIÓN.",146
01,38,"PRY",005,"CAPIATÁ","CEN",8,00:21:00,2,00:00:00,00:00:00,"GRAN ASUNCIÓN.",146
01,39,"PRY",002,"CIUDAD DEL ESTE","APR",311,04:49:00,2,00:00:00,00:00:00,,146
01,40,"BRA",108,"FOZ DO IGUAÇU","PR",7,00:24:00,2,00:00:00,00:00:00,"REGIÓN 161: 27 KM. BRASIL: 27 KM. GMT: -3. PRESIDENTE: FERNANDO ENRIQUE CARDOSO.",161
01,41,"BRA",084,"CASCAVEL","PR",143,02:08:00,2,06:37:00,18:45:00,,161
01,42,"BRA",212,"TOLEDO","PR",45,00:44:00,1,00:00:00,00:00:00,,161
01,43,"BRA",273,"UMUARAMA","PR",132,01:53:00,1,00:00:00,00:00:00,,161
01,44,"BRA",056,"MARINGÁ","PR",161,02:29:00,3,00:00:00,00:00:00,,161
01,45,"BRA",214,"APUCARANA","PR",64,01:05:00,1,06:32:00,18:30:00,,161
01,46,"BRA",229,"ARAPONGAS","PR",19,00:27:00,1,00:00:00,00:00:00,"GRAN LONDRINA.",161
01,47,"BRA",276,"CAMBÉ","PR",25,00:29:00,1,00:00:00,00:00:00,"GRAN LONDRINA.",161
01,48,"BRA",039,"LONDRINA","PR",14,00:24:00,3,00:00:00,00:00:00,"GRAN LONDRINA.",161
01,49,"BRA",074,"PONTA GROSSA","PR",271,03:56:00,2,06:30:00,18:18:00,,161
01,50,"BRA",170,"GUARAPUAVA","PR",164,02:30:00,1,00:00:00,00:00:00,,161
01,51,"BRA",142,"CHAPECÓ","SC",320,04:46:00,2,00:00:00,00:00:00,"REGIÓN 162: 110 KM.",162
01,52,"BRA",145,"PASSO FUNDO","RS",180,02:40:00,1,00:00:00,00:00:00,0,162
01,53,"BRA",246,"SANTA CRUZ DO SUL","RS",217,02:58:00,1,00:00:00,00:00:00,0,162
01,54,"BRA",101,"SANTA MARIA","RS",144,02:06:00,2,06:51:00,18:22:00,0,162
02,01,"BRA",235,"URUGUAIANA","RS",383,04:29:00,1,00:00:00,00:00:00,0,162
02,02,"BRA",278,"BAGÉ","RS",384,04:37:00,1,00:00:00,00:00:00,0,162
02,03,"BRA",083,"PELOTAS","RS",189,02:27:00,2,00:00:00,00:00:00,0,162
02,04,"BRA",141,"RIO GRANDE","RS",61,01:10:00,2,00:00:00,00:00:00,0,162
02,05,"BRA",102,"GRAVATAÍ","RS",355,05:09:00,2,06:44:00,18:03:00,"GRAN PORTO ALEGRE.",162
02,06,"BRA",207,"CACHOEIRINHA","RS",12,00:16:00,1,00:00:00,00:00:00,"GRAN PORTO ALEGRE.",162
02,07,"BRA",137,"ALVORADA","RS",11,00:23:00,2,00:00:00,00:00:00,"GRAN PORTO ALEGRE.",162
02,08,"BRA",115,"VIAMÃO","RS",14,00:26:00,2,06:49:00,17:57:00,"GRAN PORTO ALEGRE. 21/04: TIRANDANTES. 21/04: VIERNES SANTO.",162
02,09,"BRA",008,"PORTO ALEGRE","RS",25,00:48:00,6,00:00:00,00:00:00,"GRAN PORTO ALEGRE. 23/04: PASCUAS.",162
02,10,"BRA",073,"CANOAS","RS",18,00:25:00,2,06:53:00,17:50:00,"GRAN PORTO ALEGRE.",162
02,11,"BRA",195,"SAPUCAIA DO SUL","RS",13,00:16:00,1,00:00:00,00:00:00,"GRAN PORTO ALEGRE. 01/05: DÍA DEL TRABAJADOR.",162
02,12,"BRA",119,"SÃO LEOPOLDO","RS",9,00:13:00,2,00:00:00,00:00:00,"GRAN PORTO ALEGRE.",162
